location,date,total_vaccinations,longitude,latitude
Argentina,11/05/2021,9830906,-58.4004,-34.6051
Argentina,11/06/2021,16734019,-58.4004,-34.6051
Argentina,11/07/2021,25719298,-58.4004,-34.6051
Argentina,11/08/2021,36981929,-58.4004,-34.6051
Argentina,11/09/2021,48087685,-58.4004,-34.6051
Argentina,11/10/2021,55024369,-58.4004,-34.6051
Argentina,11/11/2021,64794892,-58.4004,-34.6051
Argentina,11/12/2021,72782902,-58.4004,-34.6051
Argentina,12/01/2021,175263,-58.4004,-34.6051
Argentina,12/01/2022,82816572,-58.4004,-34.6051
Argentina,12/02/2021,626074,-58.4004,-34.6051
Argentina,12/02/2022,91572941,-58.4004,-34.6051
Argentina,12/03/2021,2516620,-58.4004,-34.6051
Argentina,12/03/2022,95210653,-58.4004,-34.6051
Argentina,12/04/2021,5981521,-58.4004,-34.6051
Argentina,12/05/2021,10028469,-58.4004,-34.6051
Argentina,12/06/2021,16919006,-58.4004,-34.6051
Argentina,12/07/2021,26106216,-58.4004,-34.6051
Argentina,12/08/2021,37374054,-58.4004,-34.6051
Argentina,12/09/2021,48097407,-58.4004,-34.6051
Argentina,12/10/2021,55371122,-58.4004,-34.6051
Argentina,12/11/2021,65189806,-58.4004,-34.6051
Argentina,12/12/2021,72879827,-58.4004,-34.6051
Argentina,13/01/2021,192029,-58.4004,-34.6051
Argentina,13/01/2022,83278821,-58.4004,-34.6051
Argentina,13/02/2021,629111,-58.4004,-34.6051
Argentina,13/02/2022,91649981,-58.4004,-34.6051
Argentina,13/03/2021,2562993,-58.4004,-34.6051
Argentina,13/03/2022,95238772,-58.4004,-34.6051
Argentina,13/04/2021,6167494,-58.4004,-34.6051
Argentina,13/05/2021,10220524,-58.4004,-34.6051
Argentina,13/06/2021,17001642,-58.4004,-34.6051
Argentina,13/07/2021,26499619,-58.4004,-34.6051
Argentina,13/08/2021,37790411,-58.4004,-34.6051
Argentina,13/09/2021,48399674,-58.4004,-34.6051
Argentina,13/10/2021,55750356,-58.4004,-34.6051
Argentina,13/11/2021,65379066,-58.4004,-34.6051
Argentina,13/12/2021,73203864,-58.4004,-34.6051
Argentina,14/01/2021,208675,-58.4004,-34.6051
Argentina,14/01/2022,83695790,-58.4004,-34.6051
Argentina,14/02/2021,629263,-58.4004,-34.6051
Argentina,14/02/2022,91878512,-58.4004,-34.6051
Argentina,14/03/2021,2572161,-58.4004,-34.6051
Argentina,14/03/2022,95342523,-58.4004,-34.6051
Argentina,14/04/2021,6339102,-58.4004,-34.6051
Argentina,14/05/2021,10416922,-58.4004,-34.6051
Argentina,14/06/2021,17239473,-58.4004,-34.6051
Argentina,14/07/2021,26897755,-58.4004,-34.6051
Argentina,14/08/2021,38046487,-58.4004,-34.6051
Argentina,14/09/2021,48679014,-58.4004,-34.6051
Argentina,14/10/2021,56174208,-58.4004,-34.6051
Argentina,14/11/2021,65388650,-58.4004,-34.6051
Argentina,14/12/2021,73540504,-58.4004,-34.6051
Argentina,15/01/2021,226110,-58.4004,-34.6051
Argentina,15/01/2022,83882122,-58.4004,-34.6051
Argentina,15/02/2021,630578,-58.4004,-34.6051
Argentina,15/02/2022,92093910,-58.4004,-34.6051
Argentina,15/03/2021,2709711,-58.4004,-34.6051
Argentina,15/03/2022,95465517,-58.4004,-34.6051
Argentina,15/04/2021,6490119,-58.4004,-34.6051
Argentina,15/05/2021,10512016,-58.4004,-34.6051
Argentina,15/06/2021,17497030,-58.4004,-34.6051
Argentina,15/07/2021,27297464,-58.4004,-34.6051
Argentina,15/08/2021,38208855,-58.4004,-34.6051
Argentina,15/09/2021,49009025,-58.4004,-34.6051
Argentina,15/10/2021,56599892,-58.4004,-34.6051
Argentina,15/11/2021,65724995,-58.4004,-34.6051
Argentina,15/12/2021,73920898,-58.4004,-34.6051
Argentina,16/01/2021,231993,-58.4004,-34.6051
Argentina,16/01/2022,84015467,-58.4004,-34.6051
Argentina,16/02/2021,631889,-58.4004,-34.6051
Argentina,16/02/2022,92308131,-58.4004,-34.6051
Argentina,16/03/2021,2843390,-58.4004,-34.6051
Argentina,16/03/2022,95580517,-58.4004,-34.6051
Argentina,16/04/2021,6613777,-58.4004,-34.6051
Argentina,16/05/2021,10579604,-58.4004,-34.6051
Argentina,16/06/2021,17783714,-58.4004,-34.6051
Argentina,16/07/2021,27753508,-58.4004,-34.6051
Argentina,16/08/2021,38399662,-58.4004,-34.6051
Argentina,16/09/2021,49369966,-58.4004,-34.6051
Argentina,16/10/2021,56853456,-58.4004,-34.6051
Argentina,16/11/2021,66101480,-58.4004,-34.6051
Argentina,16/12/2021,74285284,-58.4004,-34.6051
Argentina,17/01/2021,233054,-58.4004,-34.6051
Argentina,17/01/2022,84433950,-58.4004,-34.6051
Argentina,17/02/2021,656276,-58.4004,-34.6051
Argentina,17/02/2022,92518325,-58.4004,-34.6051
Argentina,17/03/2021,2982915,-58.4004,-34.6051
Argentina,17/03/2022,95691177,-58.4004,-34.6051
Argentina,17/04/2021,6659474,-58.4004,-34.6051
Argentina,17/05/2021,10766484,-58.4004,-34.6051
Argentina,17/06/2021,18097959,-58.4004,-34.6051
Argentina,17/07/2021,28075797,-58.4004,-34.6051
Argentina,17/08/2021,38839104,-58.4004,-34.6051
Argentina,17/09/2021,49732005,-58.4004,-34.6051
Argentina,17/10/2021,56957016,-58.4004,-34.6051
Argentina,17/11/2021,66467618,-58.4004,-34.6051
Argentina,17/12/2021,74614227,-58.4004,-34.6051
Argentina,18/01/2021,242885,-58.4004,-34.6051
Argentina,18/01/2022,84839246,-58.4004,-34.6051
Argentina,18/02/2021,720083,-58.4004,-34.6051
Argentina,18/02/2022,92731843,-58.4004,-34.6051
Argentina,18/03/2021,3121825,-58.4004,-34.6051
